name,original price,special price,discount,plant size,return policy,type,life cycle,location,feng shui,plant age,hybride,brand
"GREENSEE Orchid Plant  (Hybrid, Pack of 4)",359.00, ₹130.00 ,63%,Medium,No Returns Allowed?,Flower,Biennial,Both,No,0.30,Yes,GREENSEE
"Cloud Farm Betal Leaf Plant  (Hybrid, Pack of 1)",499.00, ₹122.00 ,75%,Small,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,Cloud Farm
"Aquinnah Betel Leaf Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,Aquinnah
"THE BHOWMICK Mango Plant  (Hybrid, Pack of 1)",299.00, ₹125.00 ,58%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,THE BHOWMICK
"K.K.Enterprise Lemon Plant  (Hybrid, Pack of 1)",363.00, ₹120.00 ,66%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,K.K.Enterprise
"Zomoloco Adenium Plant  (Hybrid, Pack of 1)",399.00, ₹199.00 ,50%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Zomoloco
"Gaingreen Chiku Plant  (Hybrid, Pack of 1)",699.00, ₹120.00 ,82%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Gaingreen
Kyari Money Plant  (Pack of 1),499.00, ₹121.00 ,75%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,Kyari
"saraswati traders ZZ Plant  (Hybrid, Pack of 1)",549.00, ₹135.00 ,75%,Small,No Returns Allowed?,Fruit,Biennial,Both,Yes,1.00,Yes,saraswati traders
"GROSSAMER Lotus Plant, Syngonium Bronze Maria Plant  (Pack of 40)",999.00, ₹149.00 ,85%,Medium,No Returns Allowed?,Flower,Annual,Both,No,1.00,No,GROSSAMER
